basinid,connected_basin
1,14
1,28
1,34
1,43
1,52
1,53
1,72
1,105
1,106
1,110
1,148
1,127
1,250
2,23
2,49
2,118
2,170
2,171
2,173
2,174
2,260
2,264
2,265
2,266
3,7
3,15
3,17
3,27
3,30
3,32
3,35
3,36
3,37
3,38
3,65
3,70
3,91
3,196
3,201
4,5
4,9
4,20
4,22
4,62
4,73
4,76
4,100
4,104
4,109
4,132
4,134
4,145
4,179
4,233
4,234
4,235
4,236
4,236
4,241
4,243
4,245
4,247
4,248
4,256
5,4
5,10
5,71
5,77
5,78
5,146
5,234
5,261
5,266
6,11
6,13
6,31
6,39
6,46
6,48
6,176
6,227
6,230
6,246
6,265
7,3
7,32
7,264
8,59
9,4
9,12
9,25
9,42
9,76
9,228
9,238
9,239
9,242
9,244
10,5
10,71
10,107
10,152
10,261
10,265
10,266
11,6
11,40
11,131
12,9
12,26
12,39
12,47
12,79
12,82
12,87
13,6
13,48
13,55
13,56
13,99
13,130
13,147
14,1
14,101
14,110
14,111
15,3
15,16
15,66
15,181
16,15
16,44
16,70
17,3
17,51
18,60
18,63
18,144
19,51
19,72
19,90
19,123
19,143
19,216
19,217
19,219
19,249
20,4
20,104
21,55
21,190
21,194
22,4
22,97
22,133
22,185
22,262
23,2
24,56
25,9
25,26
25,76
25,84
26,12
26,25
26,233
26,237
26,240
26,245
27,3
27,28
27,34
27,35
27,124
27,125
28,1
28,27
28,34
28,196
29,45
29,46
29,76
29,85
29,232
29,246
30,3
30,65
31,6
31,265
32,3
32,7
32,163
32,164
33,64
33,68
33,157
33,252
33,253
33,254
34,1
34,27
34,28
34,52
34,58
34,124
35,3
35,27
35,65
35,126
35,182
36,3
36,38
36,65
37,3
37,38
38,3
38,36
38,37
39,6
39,12
39,84
39,227
39,232
40,11
40,82
40,184
41,42
41,98
41,263
42,9
42,41
42,87
42,263
43,1
43,104
43,105
43,141
44,16
45,29
45,46
45,61
45,85
45,153
46,6
46,29
46,45
46,183
46,246
47,12
48,6
48,13
48,96
49,2
49,117
49,170
49,220
49,221
50,220
50,260
51,17
51,19
51,63
51,121
51,122
51,123
52,1
52,34
52,53
52,127
53,1
53,52
53,105
53,127
53,148
53,156
53,189
54,107
54,180
54,265
55,13
55,21
56,13
56,24
57,74
57,161
57,259
58,34
59,8
60,18
61,45
61,153
62,4
63,18
63,51
63,103
63,122
63,144
64,33
64,68
65,3
65,30
65,35
65,36
66,15
67,94
67,259
68,33
68,64
69,74
70,3
70,16
71,5
71,10
72,1
72,19
72,101
72,102
72,110
72,142
72,211
73,4
73,203
73,247
74,57
74,69
74,259
75,165
75,187
76,4
76,9
76,25
76,29
76,85
76,229
76,231
76,236
77,5
77,78
78,5
78,77
78,261
79,12
80,91
82,12
82,40
82,83
83,82
84,25
84,39
85,29
85,45
85,76
85,229
85,234
87,12
87,42
89,104
90,19
91,3
91,80
91,197
93,264
94,67
94,259
95,160
96,48
96,131
97,22
98,41
99,13
100,4
101,14
101,72
101,108
101,206
101,207
101,208
101,209
101,211
102,72
102,110
102,210
102,211
102,213
102,214
103,63
104,4
104,20
104,43
104,89
104,140
104,178
104,179
104,258
105,1
105,43
105,53
105,148
105,149
105,188
106,1
106,250
107,10
107,54
108,101
109,4
109,247
109,248
110,1
110,14
110,72
110,102
110,212
111,14
113,264
117,49
117,221
118,2
119,260
121,51
122,51
122,63
123,19
123,51
124,27
124,34
125,27
126,35
126,129
127,1
127,52
127,53
129,126
129,252
129,253
130,13
131,11
131,96
132,4
133,22
134,4
134,135
135,134
136,185
138,259
140,104
141,43
142,72
142,215
143,19
143,251
144,18
144,63
144,215
145,4
146,5
147,13
148,1
148,53
148,105
148,149
149,105
149,148
150,262
152,10
152,266
153,45
153,61
153,261
154,265
155,261
156,53
157,33
159,259
160,95
160,259
161,57
161,259
162,259
163,32
164,32
165,75
168,266
169,264
170,2
170,49
171,2
172,174
173,2
174,2
174,172
176,6
178,104
179,4
179,104
180,54
181,15
182,35
183,46
184,40
185,22
185,136
187,75
188,105
189,53
190,21
194,21
196,3
196,28
197,91
200,201
201,3
201,200
202,247
203,73
203,257
206,101
207,101
208,101
209,101
210,102
211,72
211,101
211,102
212,110
213,102
214,102
215,142
215,144
216,19
217,19
218,250
218,251
219,19
220,49
220,50
221,49
221,117
227,6
227,39
227,230
227,232
228,9
229,76
229,85
229,234
229,235
230,6
230,227
231,76
232,29
232,39
232,227
232,246
233,4
233,26
233,241
233,242
233,243
233,245
234,4
234,5
234,85
234,229
234,235
235,4
235,229
235,234
235,236
236,4
236,76
236,235
237,26
237,239
237,240
237,245
238,9
238,239
239,9
239,237
239,238
239,244
240,26
240,237
240,245
241,4
241,233
241,242
242,9
242,233
242,241
242,244
242,245
243,4
243,233
244,9
244,239
244,242
245,4
245,26
245,233
245,237
245,240
245,242
246,6
246,29
246,46
246,232
247,4
247,73
247,109
247,202
248,4
248,109
249,19
250,1
250,106
250,218
251,143
251,218
252,33
252,129
253,33
253,129
253,254
254,33
254,253
256,4
257,203
258,104
259,57
259,67
259,74
259,94
259,138
259,159
259,160
259,161
259,162
260,2
260,50
260,119
261,5
261,10
261,78
261,153
261,155
262,22
262,150
262,263
263,41
263,42
263,262
264,2
264,7
264,93
264,113
264,169
264,265
264,266
265,2
265,6
265,10
265,31
265,54
265,154
265,264
265,266
266,2
266,5
266,10
266,152
266,168
266,264
266,265
1001,1002
1002,1001
